Source,Target,Weight,Journal
"M'Cannell, Otway","Tucker, Benjamin R.",2,marsden-edges
"M'Cannell, Otway","Sartoris, C.",2,marsden-edges
"M'Cannell, Otway","Upward, Allen",2,marsden-edges
"M'Cannell, Otway","Pound, Ezra",2,marsden-edges
"M'Cannell, Otway","De Gourmont, Remy",2,marsden-edges
"M'Cannell, Otway","Ed. of ""The New Freewoman""",2,marsden-edges
"M'Cannell, Otway","Byington, Steven T.",2,marsden-edges
"Zangwill, E. Ayrton","Weston, Selwyn",2,marsden-edges
"Zangwill, E. Ayrton","Hindshaw, Winifred",2,marsden-edges
"Zangwill, E. Ayrton","Lewis, Arthur D.",2,marsden-edges
"Zangwill, E. Ayrton","Haughton, Amy",2,marsden-edges
"Campbell, Donald","Whitby, Charles J.",2,marsden-edges
"Campbell, Donald","Gawthorpe, Mary",2,marsden-edges
"Campbell, Donald","Ed. of ""The Freewoman""",3,marsden-edges
"Campbell, Donald","Boord, Coralie M.",2,marsden-edges
"Campbell, Donald","Mylius, E. F.",2,marsden-edges
"Campbell, Donald","Norman, C. H.",2,marsden-edges
"Campbell, Donald","Graham, Rachel",2,marsden-edges
"Campbell, Donald","Visiak, E. H.",2,marsden-edges
"Campbell, Donald","Kitson, Arthur",2,marsden-edges
"Campbell, Donald","Lewis, Arthur D.",3,marsden-edges
"Campbell, Donald","Hunt, Chas. F.",2,marsden-edges
"Campbell, Donald","West, Rebecca",3,marsden-edges
"Teulon Porter, Beeban",Herrmann Karl Georg Jesus Maria,2,marsden-edges
"Teulon Porter, Beeban",Auceps,3,marsden-edges
"Teulon Porter, Beeban","Joyce, James",3,marsden-edges
"Teulon Porter, Beeban","Ed. of ""The Egoist""",3,marsden-edges
"Teulon Porter, Beeban","Compton-Rickett, Leonard A.",2,marsden-edges
"Teulon Porter, Beeban","Aldington, Richard",3,marsden-edges
"Teulon Porter, Beeban","Carter, Huntly",2,marsden-edges
"Teulon Porter, Beeban","Teulon Porter, Noel",3,marsden-edges
"Teulon Porter, Beeban","Pound, Ezra",2,marsden-edges
"Bradford, Florence M.","Aldington, Richard",2,marsden-edges
"Bradford, Florence M.","Carter, Huntly",2,marsden-edges
"Bradford, Florence M.","Marsden, Dora",2,marsden-edges
"Bradford, Florence M.","Joyce, James",2,marsden-edges
"Bradford, Florence M.","Ciolkowska, Muriel",2,marsden-edges
"Wagner, A. G.","Joyce, James",2,marsden-edges
"Wagner, A. G.","Aldington, Richard",2,marsden-edges
"Whitby, Charles J.","Foss, William",3,marsden-edges
"Whitby, Charles J.","Macdonald, W. A.",3,marsden-edges
"Whitby, Charles J.","Gaskell, Ellen S.",2,marsden-edges
"Whitby, Charles J.","Ed. of ""The Freewoman""",13,marsden-edges
"Whitby, Charles J.",B. A. S.,2,marsden-edges
"Whitby, Charles J.","Ciolkowska, Muriel",3,marsden-edges
"Whitby, Charles J.","Pearce, I. D.",3,marsden-edges
"Whitby, Charles J.","Macdonald, Helen M.",2,marsden-edges
"Whitby, Charles J.","Robinson, Rona (M.Sc.)",2,marsden-edges
"Whitby, Charles J.","Aldington, Richard",2,marsden-edges
"Whitby, Charles J.","Chapman, Dorothy",2,marsden-edges
