Source,Target,Weight,Journal
"Latimer, Louise R.","Johnson, Georgia Douglas",2,crisis-edges
"Allison, M. G.","Allison, Madeline G.",2,crisis-edges
"Allison, M. G.","Jordan, Winifred Virginia",2,crisis-edges
"Allison, M. G.","Du Bois, W. E. B.",2,crisis-edges
"Hurst, John","Bohanan, Otto L.",2,crisis-edges
"Hurst, John","Villard, Oswald Garrison",2,crisis-edges
"Hurst, John","Johnson, James Weldon",3,crisis-edges
"Hurst, John","Fauset, Jessie",2,crisis-edges
"Hurst, John","Storey, Moorfield",2,crisis-edges
"Hurst, John","Du Bois, W. E. B.",3,crisis-edges
"Hurst, John","Johnson, Georgia Douglas",2,crisis-edges
"Lindsay, Nicholas Vachel","Spingarn, J. E.",2,crisis-edges
"Stafford, Wendell Phillips","Adams, John Henry",2,crisis-edges
"Moore, William","Johnson, Fenton",2,crisis-edges
"Johnson, Fenton","Villard, Oswald Garrison",2,crisis-edges
"Johnson, Fenton","Brockman, W. L.",2,crisis-edges
"Johnson, Fenton","Corrothers, James D.",2,crisis-edges
Brown and Dawson,"Du Bois, W. E. B.",2,crisis-edges
"Du Bois, W. E. B.",J. F.,2,crisis-edges
"Du Bois, W. E. B.","Bohanan, Otto L.",3,crisis-edges
"Du Bois, W. E. B.",Scurlock,2,crisis-edges
"Du Bois, W. E. B.","Jordan, Winifred Virginia",4,crisis-edges
"Du Bois, W. E. B.","Cotter, Joseph S.",2,crisis-edges
"Du Bois, W. E. B.","Villard, Oswald Garrison",6,crisis-edges
"Du Bois, W. E. B.","Brown, Richard L.",3,crisis-edges
"Du Bois, W. E. B.","Bagnall, Robert W.",5,crisis-edges
"Du Bois, W. E. B.","Ovington, Mary W.",4,crisis-edges
"Du Bois, W. E. B.","Fawcett, James Waldo",3,crisis-edges
"Du Bois, W. E. B.","Frazier, C. Emily",2,crisis-edges
"Du Bois, W. E. B.","Lee, Mary Effie",3,crisis-edges
"Du Bois, W. E. B.",Underwood and Underwood,3,crisis-edges
"Du Bois, W. E. B.","Chesnutt, Charles W.",3,crisis-edges
"Du Bois, W. E. B.","Rogers, Lucille",2,crisis-edges
"Du Bois, W. E. B.","Jordan, L. G.",2,crisis-edges
"Du Bois, W. E. B.","Watkins, Lucian B.",3,crisis-edges
"Du Bois, W. E. B.","Johnson, Georgia Douglas",9,crisis-edges
"Du Bois, W. E. B.","Richardson, Willis",2,crisis-edges
"Du Bois, W. E. B.","Newsome, Effie Lee",6,crisis-edges
"Du Bois, W. E. B.","Pickens, William",4,crisis-edges
"Du Bois, W. E. B.","Allison, Madeline G.",37,crisis-edges
"Du Bois, W. E. B.","Spencer, Anne",2,crisis-edges
"Du Bois, W. E. B.","Burch, Charles Eaton",2,crisis-edges
"Du Bois, W. E. B.","Pendleton, Leila Amos",3,crisis-edges
"Du Bois, W. E. B.","Brown, Edward O.",2,crisis-edges
"Du Bois, W. E. B.","White, Walter F.",4,crisis-edges
"Du Bois, W. E. B.","Hershaw, L. M.",3,crisis-edges
"Du Bois, W. E. B.","Spingarn, J. E.",3,crisis-edges
"Du Bois, W. E. B.","Stoddard, Yetta Kay",2,crisis-edges
"Du Bois, W. E. B.","Wheeler, Laura",10,crisis-edges
"Du Bois, W. E. B.","Adams, John Henry",5,crisis-edges
"Du Bois, W. E. B.","Toomer, Jean",2,crisis-edges
"Du Bois, W. E. B.","Clifford, Carrie W.",2,crisis-edges
"Du Bois, W. E. B.","Hill, Leslie Pinckney",4,crisis-edges
"Du Bois, W. E. B.","Moravsky, Maria",2,crisis-edges
"Du Bois, W. E. B.","Russell, Charles Edward",3,crisis-edges
"Du Bois, W. E. B.","Smith, Albert",5,crisis-edges
"Du Bois, W. E. B.","Braithwaite, William Stanley",4,crisis-edges
"Du Bois, W. E. B.","Canfield, Dorothy",2,crisis-edges
"Du Bois, W. E. B.","Wilkinson, Hilda",7,crisis-edges
"Du Bois, W. E. B.","Harris, Lorenzo",2,crisis-edges
"Du Bois, W. E. B.","Hughes, Langston",11,crisis-edges
"Du Bois, W. E. B.","McKay, Claude",3,crisis-edges
"Du Bois, W. E. B.","Saunders, Vincent",11,crisis-edges
"Du Bois, W. E. B.","Francique, John",2,crisis-edges
"Du Bois, W. E. B.","Murray, Ella Rush",2,crisis-edges
"Du Bois, W. E. B.","Walts, Frank",8,crisis-edges
"Du Bois, W. E. B.","Johnson, Charles Bertram",6,crisis-edges
"Du Bois, W. E. B.","Jones, Scipio",2,crisis-edges
"Du Bois, W. E. B.","Johnson, James Weldon",6,crisis-edges
"Du Bois, W. E. B.","Shillady, John R.",2,crisis-edges
"Du Bois, W. E. B.","Fauset, Jessie",29,crisis-edges
"Du Bois, W. E. B.","Jackson, May Howard",2,crisis-edges
"Du Bois, W. E. B.","Cullen, Countee P.",2,crisis-edges
"Du Bois, W. E. B.","Battey, C. M.",4,crisis-edges
"Du Bois, W. E. B.",Battey,2,crisis-edges
"Du Bois, W. E. B.","Bentley, Florence Lewis",3,crisis-edges
"Du Bois, W. E. B.","Scott, William E.",2,crisis-edges
"Du Bois, W. E. B.","Storey, Moorfield",4,crisis-edges
"Harris, Lorenzo","Bohanan, Otto L.",2,crisis-edges
"Harris, Lorenzo","Saunders, Vincent",2,crisis-edges
"Harris, Lorenzo","Grimke, Archibald H.",2,crisis-edges
"Harris, Lorenzo","Corrothers, James D.",2,crisis-edges
"Harris, Lorenzo","Scott, William E.",2,crisis-edges
"Harris, Lorenzo","Johnson, Georgia Douglas",3,crisis-edges
"Harris, Lorenzo","Clarana, José",2,crisis-edges
"Harris, Lorenzo","Pendleton, Leila Amos",2,crisis-edges
"Harris, Lorenzo","Battey, C. M.",2,crisis-edges
"Harris, Lorenzo","Storey, Moorfield",2,crisis-edges
"Jones, Harry H.","Johnson, Georgia Douglas",2,crisis-edges
"Koch, Felix J.","Johnson, Georgia Douglas",2,crisis-edges
"Hill, Leslie Pinckney","Adams, John Henry",2,crisis-edges
"Hill, Leslie Pinckney","Fauset, Jessie",2,crisis-edges
"Hill, Leslie Pinckney","Storey, Moorfield",2,crisis-edges
"Clifford, Carrie W.","Brawley, Benjamin",2,crisis-edges
"Clifford, Carrie W.","Fauset, Jessie",2,crisis-edges
"Clifford, Carrie W.","Allison, Madeline G.",2,crisis-edges
"Clifford, Carrie W.","Battey, C. M.",2,crisis-edges
"Toomer, Jean","Newsome, Effie Lee",2,crisis-edges
"Toomer, Jean","Allison, Madeline G.",2,crisis-edges
"Wheeler, Laura","Dunbar-Nelson, Alice",2,crisis-edges
"Wheeler, Laura","Cotter, Joseph S.",2,crisis-edges
"Wheeler, Laura","Russell, Charles Edward",2,crisis-edges
"Wheeler, Laura","Smith, Albert",2,crisis-edges
"Wheeler, Laura","Johnson, James Weldon",2,crisis-edges
"Wheeler, Laura","Canfield, Dorothy",2,crisis-edges
"Wheeler, Laura","Saunders, Vincent",2,crisis-edges
"Wheeler, Laura","Johnson, Georgia Douglas",2,crisis-edges
"Wheeler, Laura","Lee, Mary Effie",2,crisis-edges
"Wheeler, Laura","Allison, Madeline G.",7,crisis-edges
"Wheeler, Laura","Fauset, Jessie",9,crisis-edges
"Wheeler, Laura","Battey, C. M.",2,crisis-edges
"Wheeler, Laura","Johnson, Charles Bertram",2,crisis-edges
"Wheeler, Laura","Walts, Frank",4,crisis-edges
"Spingarn, J. E.","Villard, Oswald Garrison",2,crisis-edges
"Spingarn, J. E.","Cloud, F. H.",2,crisis-edges
"Spingarn, J. E.","Johnson, Georgia Douglas",3,crisis-edges
"Spingarn, J. E.","Johnson, James Weldon",2,crisis-edges
"Spingarn, J. E.","Fauset, Jessie",2,crisis-edges
"Spingarn, J. E.","Ovington, Mary W.",2,crisis-edges
"Spingarn, J. E.","Storey, Moorfield",2,crisis-edges
"Spingarn, J. E.","Watkins, Lucian B.",2,crisis-edges
"Spingarn, J. E.","Bradford, George G.",2,crisis-edges
"Bradford, George G.","Watkins, Lucian B.",2,crisis-edges
"Bradford, George G.","Johnson, Georgia Douglas",3,crisis-edges
"Moravsky, Maria","Allison, Madeline G.",2,crisis-edges
"Moravsky, Maria","Wilkinson, Hilda",2,crisis-edges
"Cloud, F. H.","Johnson, Georgia Douglas",2,crisis-edges
"Schomburg, Arthur A.","Villard, Oswald Garrison",2,crisis-edges
"Schomburg, Arthur A.","Dickerman, G. S.",2,crisis-edges
"Jordan, L. G.","Allison, Madeline G.",2,crisis-edges
"Jordan, L. G.","Fauset, Jessie",2,crisis-edges
"Jordan, L. G.","Hughes, Langston",2,crisis-edges
"Rogers, Lucille","Allison, Madeline G.",2,crisis-edges
"Rogers, Lucille","Fauset, Jessie",2,crisis-edges
"Lee, Mary Effie","Allison, Madeline G.",2,crisis-edges
"Lee, Mary Effie",Underwood and Underwood,2,crisis-edges
"Lee, Mary Effie",Scurlock,2,crisis-edges
"Lee, Mary Effie","Fauset, Jessie",2,crisis-edges
"Ovington, Mary W.","Allison, Madeline G.",2,crisis-edges
"Ovington, Mary W.","Hughes, Langston",2,crisis-edges
"Ovington, Mary W.","Johnson, Georgia Douglas",2,crisis-edges
"Dunbar-Nelson, Alice","Johnson, Georgia Douglas",2,crisis-edges
"Bentley, Florence Lewis","Wilkinson, Hilda",2,crisis-edges
"Bentley, Florence Lewis","Johnson, Charles Bertram",2,crisis-edges
"Bentley, Florence Lewis","Allison, Madeline G.",2,crisis-edges
M. W. O.,"Villard, Oswald Garrison",2,crisis-edges
M. W. O.,"Fauset, Jessie",2,crisis-edges
"Work, Monroe N.","Johnson, Georgia Douglas",2,crisis-edges
"Smith, Albert","Walts, Frank",2,crisis-edges
"Smith, Albert","Pickens, William",2,crisis-edges
"Smith, Albert","Allison, Madeline G.",5,crisis-edges
"Smith, Albert","Fauset, Jessie",2,crisis-edges
"Smith, Albert","Spencer, Anne",2,crisis-edges
"Addams, Jane","Adams, John Henry",2,crisis-edges
"Wilkinson, Hilda","Walts, Frank",2,crisis-edges
"Wilkinson, Hilda","Allison, Madeline G.",6,crisis-edges
"Wilkinson, Hilda","Burch, Charles Eaton",2,crisis-edges
"Wilkinson, Hilda","Fauset, Jessie",4,crisis-edges
"Wilkinson, Hilda","Johnson, Charles Bertram",2,crisis-edges
"Wilkinson, Hilda","Murray, Ella Rush",2,crisis-edges
"Braithwaite, William Stanley","Villard, Oswald Garrison",2,crisis-edges
"Braithwaite, William Stanley","Brown, Richard L.",2,crisis-edges
"Braithwaite, William Stanley","Russell, Charles Edward",2,crisis-edges
"Braithwaite, William Stanley","Chesnutt, Charles W.",3,crisis-edges
"Braithwaite, William Stanley","Hershaw, L. M.",3,crisis-edges
"Johnson, James Weldon","Bohanan, Otto L.",2,crisis-edges
"Johnson, James Weldon","Hughes, Langston",2,crisis-edges
"Johnson, James Weldon",Scurlock,2,crisis-edges
"Johnson, James Weldon","Fauset, Jessie",3,crisis-edges
"Johnson, James Weldon","Allison, Madeline G.",4,crisis-edges
"Milholland, John E. (Mrs.)","Adams, John Henry",5,crisis-edges
"White, Walter F.","Walts, Frank",3,crisis-edges
"White, Walter F.","Steward, T. G.",2,crisis-edges
"White, Walter F.","Allison, Madeline G.",2,crisis-edges
"White, Walter F.","Johnson, Georgia Douglas",3,crisis-edges
"Brown, Edward O.","Villard, Oswald Garrison",2,crisis-edges
"Pendleton, Leila Amos","Allison, Madeline G.",2,crisis-edges
"Pendleton, Leila Amos","Fauset, Jessie",2,crisis-edges
"Pendleton, Leila Amos","Bohanan, Otto L.",2,crisis-edges
"Adams, John Henry","Villard, Oswald Garrison",3,crisis-edges
"Adams, John Henry","Allison, Madeline G.",3,crisis-edges
"Adams, John Henry","Fauset, Jessie",6,crisis-edges
"Adams, John Henry","Hershaw, L. M.",3,crisis-edges
"Brooks, C. Ames","Hershaw, L. M.",2,crisis-edges
"Henderson, Edwin B.","Bohanan, Otto L.",2,crisis-edges
"Johnson, Charles Bertram","Allison, Madeline G.",5,crisis-edges
"Johnson, Charles Bertram","Fauset, Jessie",3,crisis-edges
"Hunton, A. W.","Dickerman, G. S.",2,crisis-edges
"Dill, A. G.","Johnson, Georgia Douglas",2,crisis-edges
"Shaw, Charles A.","Saunders, Vincent",2,crisis-edges
"Grimke, Archibald H.","Corrothers, James D.",2,crisis-edges
"Bohanan, Otto L.",Scurlock,2,crisis-edges
"Bohanan, Otto L.","Steward, T. G.",2,crisis-edges
"Bohanan, Otto L.","Watkins, Lucian B.",2,crisis-edges
"Bohanan, Otto L.","Storey, Moorfield",3,crisis-edges
"Battey, C. M.","Storey, Moorfield",2,crisis-edges
"Battey, C. M.","Allison, Madeline G.",3,crisis-edges
"Battey, C. M.","Fauset, Jessie",2,crisis-edges
"Cullen, Countee P.","Francique, John",2,crisis-edges
"Cullen, Countee P.","Allison, Madeline G.",2,crisis-edges
"Cullen, Countee P.","Fauset, Jessie",2,crisis-edges
"Fauset, Jessie",Scurlock,2,crisis-edges
"Fauset, Jessie","Cotter, Joseph S.",3,crisis-edges
"Fauset, Jessie","Newsome, Effie Lee",5,crisis-edges
"Fauset, Jessie",Underwood and Underwood,3,crisis-edges
"Fauset, Jessie","Francique, John",2,crisis-edges
"Fauset, Jessie","Johnson, Georgia Douglas",5,crisis-edges
